run,THETA1,THETA2,THETA3,THETA4,THETA5,THETA6,THETA7,THETA8,"OMEGA(1,1)","OMEGA(2,1)","OMEGA(2,2)","OMEGA(3,1)","OMEGA(3,2)","OMEGA(3,3)","SIGMA(1,1)"
133,0.403974,4.10346,1.16657,4.22862,1.27784,0.480982,-0.0162995,0.370884,0.254552,0.0583346,0.0782996,0.117792,0.0655146,0.0982556,0.0411962
134,0.529068,4.15374,1.18098,4.19632,1.25464,0.548677,-0.174114,0.333691,0.275488,0.0619528,0.0911597,0.1507,0.0768731,0.117539,0.0390357
135,0.582723,4.1537,1.17252,4.20475,1.24112,0.475959,-0.0201048,0.506518,0.264316,0.0508299,0.0750684,0.147102,0.0654345,0.108072,0.045143
136,0.429045,4.10455,1.16892,4.20698,1.31466,0.450983,-0.0240061,0.368592,0.152236,0.04753,0.0748103,0.0884838,0.0627719,0.097658,0.0389583
137,0.386446,4.11129,1.23386,4.20856,1.32679,0.486403,-0.0341098,0.521942,0.191486,0.0655579,0.0852861,0.0970634,0.0722236,0.111843,0.040635
138,0.433059,4.09956,1.14105,4.22373,1.31488,0.469832,-0.0762423,0.332443,0.31829,0.0669488,0.0768391,0.136023,0.0670671,0.123293,0.0395975
139,0.466855,4.10592,1.17606,4.22773,1.24195,0.525294,0.0146775,0.435138,0.162564,0.0662071,0.0858354,0.111248,0.0734911,0.122763,0.0414259
140,0.479041,4.13813,1.16892,4.23043,1.30753,0.529054,-0.0843001,0.304275,0.284914,0.102471,0.0874676,0.149865,0.0787928,0.114797,0.0390206
141,0.434768,4.10528,1.12951,4.18408,1.27494,0.472394,-0.0612813,0.413425,0.225225,0.0445571,0.0749309,0.11953,0.0559057,0.103473,0.0393043
142,0.427571,4.13268,1.14902,4.22851,1.30399,0.509634,-0.0162371,0.351331,0.145285,0.0436878,0.0652409,0.113685,0.0715451,0.129532,0.0403384
143,0.354026,4.11062,1.1511,4.22551,1.35372,0.500713,-0.0805938,0.449563,0.217037,0.0776015,0.0803423,0.123331,0.0684582,0.109944,0.0415894
144,0.382065,4.09875,1.1196,4.21039,1.27391,0.512357,-0.0361584,0.37507,0.224466,0.0799283,0.0938486,0.147003,0.0829451,0.126788,0.0399447
145,0.437883,4.11026,1.15523,4.20568,1.29404,0.450479,-0.0564949,0.426572,0.181116,0.0446814,0.0623303,0.109047,0.0557518,0.0954475,0.0422654
146,0.46385,4.15103,1.1813,4.22267,1.32726,0.509987,-0.0575007,0.467048,0.195745,0.0629109,0.0834377,0.112842,0.0685016,0.10152,0.040685
147,0.485706,4.14074,1.20616,4.20942,1.29519,0.518195,0.0477268,0.3988,0.184567,0.0346789,0.0554326,0.0974698,0.0531419,0.109055,0.0405964
148,0.416586,4.08547,1.14438,4.19262,1.30304,0.46471,-0.118354,0.553567,0.19727,0.0464986,0.0813525,0.0956559,0.0660734,0.104143,0.0404729
149,0.459575,4.14608,1.22378,4.19704,1.29462,0.530609,-0.0629191,0.406342,0.229963,0.0666287,0.0793611,0.117623,0.0745793,0.120266,0.0410761
150,0.467724,4.12484,1.16753,4.21165,1.26233,0.481128,-0.0483198,0.335722,0.234505,0.0677983,0.0743438,0.138858,0.0706712,0.119112,0.0409755
151,0.526726,4.14804,1.2173,4.1975,1.2817,0.44210700000000003,0.0179985,0.481028,0.227283,0.0829554,0.096485,0.152261,0.0857721,0.135691,0.041596
152,0.46145,4.10323,1.1538,4.25098,1.30255,0.462297,-0.153722,0.477938,0.20644,0.0792699,0.0900756,0.145852,0.0792927,0.112159,0.0417579
153,0.505895,4.13554,1.14106,4.22311,1.24842,0.544912,-0.116229,0.371237,0.151262,0.047017,0.0743563,0.103306,0.0645139,0.109762,0.0373514
154,0.368621,4.11842,1.17516,4.24587,1.29456,0.443567,-0.0051504,0.449983,0.230502,0.0497288,0.0657673,0.123233,0.057856200000000003,0.106047,0.0406044
155,0.475972,4.15744,1.21602,4.22245,1.24563,0.519217,0.0468892,0.503646,0.199343,0.0589763,0.0683985,0.0865746,0.054435,0.105714,0.0410581
156,0.48304,4.15241,1.15346,4.18794,1.24156,0.478027,0.0485151,0.352508,0.204416,0.0501675,0.0823702,0.114101,0.0619228,0.104455,0.0395247
157,0.544077,4.15429,1.17652,4.23968,1.27536,0.450513,-0.125214,0.373262,0.330616,0.10181,0.0805748,0.176229,0.078896,0.123765,0.0400336
158,0.540672,4.14004,1.18574,4.23922,1.24172,0.56295,-0.0712595,0.475128,0.291658,0.0597547,0.0821937,0.146678,0.0648931,0.0967077,0.0424973
159,0.572578,4.12776,1.23786,4.21381,1.2657,0.596404,0.0187902,0.409025,0.281629,0.0749862,0.070158,0.135132,0.077119,0.129239,0.0415561
160,0.649881,4.13293,1.18745,4.19179,1.25552,0.536836,0.0465133,0.401841,0.27511,0.104856,0.0940348,0.181269,0.0866588,0.142775,0.039372
161,0.443104,4.13076,1.1857,4.21942,1.31459,0.478441,-0.128244,0.351417,0.161203,0.0610535,0.0868866,0.110151,0.0723491,0.11256,0.0387233
